Code,Name
02072720,Jumătăți sau sferturi
02072730,"Aripi întregi, cu sau fără vârfuri"
02072740,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02072750,Piept și bucăți de piept
02072760,Copane și bucăți de copane
02072770,Altele
02072780,Altele
02072791,Ficat
02072799,Altele
020741,"Netranșate în bucăți, proaspete sau refrigerate"
02074120,"Fără pene și sânge, fără intestine, dar neeviscerate, cu cap și picioare, denumite ""rațe 85 %"""
02074130,"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite ""rațe 70 %"""
02074180,"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite ""rațe 63 %"", sau altfel prezentate"
020742,"Netranșate în bucăți, congelate"
02074230,"Fără pene, eviscerate, fără cap și picioare, cu gât, inimă, ficat și pipotă, denumite ""rațe 70 %"""
02074280,"Fără pene, eviscerate, fără cap și picioare și fără gât, inimă, ficat și pipotă, denumite ""rațe 63 %"", sau altfel prezentate"
020743,"Ficat gras, proaspăt sau refrigerat"
020744,"Altele, proaspete sau refrigerate"
02074410,Dezosate
02074421,Jumătăți sau sferturi
02074431,"Aripi întregi, cu sau fără vârfuri"
02074441,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02074451,Piept și bucăți de piept
02074461,Pulpe și bucăți de pulpe
02074471,"Părți numite ""trunchi de rațe"""
02074481,Altele
02074491,"Ficat, altul decât ficatul gras"
02074499,Altele
020745,"Altele, congelate"
0207,"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105"
020741,"Netranșate în bucăți, proaspete sau refrigerate"
020742,"Netranșate în bucăți, congelate"
020743,"Ficat gras, proaspăt sau refrigerat"
020744,"Altele, proaspete sau refrigerate"
020745,"Altele, congelate"
02074510,Dezosate
02074521,Jumătăți sau sferturi
02074531,"Aripi întregi, cu sau fără vârfuri"
02074541,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02074551,Piept și bucăți de piept
02074561,Pulpe și bucăți de pulpe
02074571,"Părți numite ""trunchi de rațe"""
02074581,Altele
02074593,Ficat gras
02074595,Altele
02074599,Altele
020751,"Netranșate în bucăți, proaspete sau refrigerate"
02075110,"Fără pene și sânge, neeviscerate, cu cap și picioare, denumite ""gâște 82 %"""
02075190,"Fără pene, eviscerate, fără cap și picioare, cu sau fără inimă și pipotă, denumite ""gâște 75 %"", sau altfel prezentate"
020752,"Netranșate în bucăți, congelate"
02075210,"Fără pene și sânge, neeviscerate, cu cap și picioare, denumite ""gâște 82 %"""
02075290,"Fără pene, eviscerate, fără cap și picioare, cu sau fără inimă și pipotă, denumite ""gâște 75 %"", sau altfel prezentate"
020753,"Ficat gras, proaspăt sau refrigerat"
020754,"Altele, proaspete sau refrigerate"
02075410,Dezosate
02075421,Jumătăți sau sferturi
02075431,"Aripi întregi, cu sau fără vârfuri"
02075441,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02075451,Piept și bucăți de piept
02075461,Pulpe și bucăți de pulpe
02075471,"Părți numite ""trunchi de gâște"""
02075481,Altele
02075491,"Ficat, altul decât ficatul gras"
020755,"Altele, congelate"
0207,"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105"
020751,"Netranșate în bucăți, proaspete sau refrigerate"
020752,"Netranșate în bucăți, congelate"
020753,"Ficat gras, proaspăt sau refrigerat"
020754,"Altele, proaspete sau refrigerate"
02075491,"Ficat, altul decât ficatul gras"
02075499,Altele
020755,"Altele, congelate"
02075510,Dezosate
02075521,Jumătăți sau sferturi
02075531,"Aripi întregi, cu sau fără vârfuri"
02075541,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02075551,Piept și bucăți de piept
02075561,Pulpe și bucăți de pulpe
02075571,"Părți numite ""trunchi de gâște"""
02075581,Altele
02075593,Ficat gras
02075595,Altele
02075599,Altele
020760,De bibilică
02076005,"Netranșate în bucăți, proaspete, refrigerate sau congelate"
0207600510,proaspete sau refrigerate
0207600590,congelate
02076010,Dezosate
02076021,Jumătăți sau sferturi
0207602110,Proaspătă sau refrigerată
0207602190,Altele
02076031,"Aripi întregi, cu sau fără vârfuri"
02076041,"Spate, gâturi, spate cu gâturi împreună, târtițe, vârfuri de aripi"
02076051,Piept și bucăți de piept
02076061,Pulpe și bucăți de pulpe
02076081,Altele
02076091,Ficat
0207609110,Proaspătă sau refrigerată
0207609190,Altele
02076099,Altele
0201,"Carne de animale din specia bovine, proaspătă sau refrigerată"
0202,"Carne de animale din specia bovine, congelată"
0203,"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată"
0204,"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată"
0205,"Carne de cal, de măgar sau de catâr, proaspătă, refrigerată sau congelată"
0206,"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate"
0207,"Carne și organe comestibile, proaspete, refrigerate sau congelate, de păsări de la poziția 0105"
0208,"Altă carne și organe comestibile, proaspete, refrigerate sau congelate"
020810,De iepuri domestici sau de iepuri de câmp
02081010,De iepuri domestici
02081090,Altele
020830,De primate
020840,"De balene, delfini și marsuini (mamifere din ordinul Cetacee); de lamantini și dugongi (mamifere din ordinul Sirenia); de foci, lei de mare și morse (mamifere din subordinul Pinnipedia)"
02084010,Carne de balenă
02084020,Carne de focă
02084080,Altele
020850,De reptile (inclusiv șerpi și broaște țestoase de mare)
020860,De cămile și alte camelide (Camelidae)
020890,Altele
02089010,De porumbei domestici
02089030,"De vânat, altul decât iepurii domestici sau iepurii de câmp"
02089060,De reni
02089070,Pulpe de broască
02089098,Altele
0209,"Slănină fără părți slabe, grăsime de porc și de pasăre, netopite și nici altfel extrase, proaspete, refrigerate, congelate, sărate sau în saramură, uscate sau afumate"
020910,De porc
02091011,"Proaspătă, refrigerată, congelată, sărată sau în saramură"
02091019,Uscată sau afumată
02091090,"Grăsime de porc, alta decât cea de la subpozițiile 0209 10 11 și 0209 10 19"
020990,Altele
0210,"Carne și organe comestibile, sărate sau în saramură, uscate sau afumate; făină și pudră, comestibile, de carne sau de organe"
021011,"Jamboane, spete și bucăți din acestea, nedezosate"
02101111,Jamboane și bucăți de jamboane
02101119,Spete și bucăți din acestea
02101131,Jamboane și bucăți de jamboane
02101139,Spete și bucăți din acestea
02101190,Altele
021012,Piept (împănat) și bucăţi din acesta
02101211,Sărate sau în saramură
02101219,Uscate sau afumate
02101290,Altele
0210,"Carne și organe comestibile, sărate sau în saramură, uscate sau afumate; făină și pudră, comestibile, de carne sau de organe"
021011,"Jamboane, spete și bucăți din acestea, nedezosate"
021012,Piept (împănat) și bucăţi din acesta
021019,Altele
02101910,Semicarcase de bacon sau trei sferturi anterior
02101920,Trei sferturi posterior sau mijloc
02101930,Părți anterioare și bucăți din acestea
02101940,Spinări și bucăți din acestea
02101950,Altele
0210195010,"Jambon, în saramură, fără os, îmbrăcat într-o vezică sau într-un maţ artificial"
0210195090,Altele
02101960,Părți anterioare și bucăți din acestea
02101970,Spinări și bucăți din acestea
02101981,Dezosate
0210198110,"Bucată de cotlet fără os, în saramură şi afumată"
0210198120,"Gât de porc, în saramură şi uscat la aer, întreg, bucăţi sau tăiat în felii subţiri"
0210198190,Altele
02101989,Altele
02101990,Altele
021020,Carne din specia bovine
02102010,Nedezosată
0210201010,de bizon
0210201090,Altele
02102090,Dezosată
0210209011,de bizon
0210209015,Altele
0210209091,de bizon
0210209099,Altele
021091,De primate
021092,"De balene, delfini și marsuini (mamifere din ordinul Cetacee); de lamantini și dugongi (mamifere din ordinul Sirenia); de foci, lei de mare și morse (mamifere din subordinul Pinnipedia)"
02109210,"De balene, delfini și delfini bruni (mamifere din ordinul Cetacee); de lamantini și dugongi (mamifere din ordinul Sirenia)"
02109291,Carne
02109292,Organe
02109299,"Făină și pudră, comestibile, de carne sau de organe comestibile"
021093,De reptile (inclusiv șerpi și broaște țestoase de mare)
0210,"Carne și organe comestibile, sărate sau în saramură, uscate sau afumate; făină și pudră, comestibile, de carne sau de organe"
021020,Carne din specia bovine
021091,De primate
